ID;Nama;Gender;Age;Height;Weight;Active;Fruit;Healthy;Sweetness;Saltiness;Sourness;Bitterness;Savoriness;Fattiness;Spiciness;Fried Rice - Chinese comfort food;Meatball Vegetable Soup;Chicken Satay;Simple Rendang;Chicken Porridge;Honey-Glazed Grilled Chicken;Chinese Style Chicken and Noodle Stir Fry;Monastery soup;My Asian Fried Fish Fillet;Pan-Fried Stuffed Tofu With Oyster Sauce;Grilled Duck;Autumn Salad;Japanese Sushi;Beef Tenderloin Steaks with Seared Mushrooms and Red Wine Vinaigrette;Vegetable Noodles;Chocolate Oatmeal;Creamy Curry Chicken With Yellow Rice;Thai Fish Cakes;Crispy Chicken Burger;An American Beef Burger;The Perfect Scrambled Eggs - Every Time;Smoked Salmon Fettuccine;Kare Katsu;Easy Crispy Oven Chicken;Mushroom Quesadillas;Lasagna Silvia;Chicken Wings;Crispy Fried Perch Fillets;Coconut Curry Ramen Noodles;Cheesy Beef Burrito;Best Chicken Parmesan;Beef Wellington;Chicken Cordon Bleu;Butter Chicken;Chicken Teriyaki with Soba Noodles;BLT Pizza;Grilled Salmon With Mango Salsa;Creamy Alfredo and Shrimp Pasta;Shrimp Tacos with Avocado, Grapefruit, and Creamy Cilantro Sauce;Chicken Caesar Salad;Nutella Stuffed French Toast;Spaghetti With Bolognese Sauce;BBQ Mac and Cheese;Bbq Chicken;Lemon - Garlic Chicken
61;Unknown;Female;21;165;70;Active;5;4;2.103904444;3.686011111;1.348626667;1.248164444;2.443457778;3.188871111;0.028289715;4;4;4;3;2;4;4;5;4;5;4;5;5;5;5;5;4;4;4;5;5;5;4;4;4;5;4;4;5;4;4;4;4;4;4;4;5;5;4;5;5;5;5;4;5
62;Unknown;Male;21;170;95;Light activity;3;4;1.862288889;3.341575556;1.208273333;1.152333333;2.198828889;2.900348889;0.035325995;5;3;3;5;4;4;5;5;3;4;2;5;1;4;3;5;3;5;5;4;5;5;3;5;3;3;3;5;3;3;3;3;3;5;5;3;5;3;5;3;3;5;5;5;5
63;Unknown;Male;21;167;50;Light activity;3;4;2.30522;4.155457778;1.47112;1.361842222;2.744573333;3.567966667;0.040187393;5;5;5;5;5;5;5;4;5;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;4;5;5;4;5;5;5;5;5;5;5;5;5;4;4;5;5;5;5;5;5
64;Unknown;Female;21;155;50;Active;3;3;1.752435556;2.77244;1.074822222;0.991744444;1.884573333;2.538422222;0.015217731;4;1;1;1;5;3;4;5;5;4;3;4;5;1;5;3;5;5;5;1;4;3;4;4;3;1;2;5;5;2;3;1;3;4;3;4;5;5;5;2;4;3;5;3;2
65;Unknown;Female;22;157;47;Moderate active;2;2;1.740259091;3.291645455;1.110843182;1.048856818;2.141572727;2.7635;0.036202723;5;5;0;5;5;5;5;5;3;5;2;3;3;4;3;1;5;5;5;5;5;3;5;5;3;3;4;4;3;3;3;3;3;3;4;3;3;3;3;3;3;4;3;4;4
66;Unknown;Male;42;178;120;Active;4;3;1.672722222;2.946033333;1.05784;1.000157778;1.897535556;2.526384444;0.018343524;4;4;4;1;4;4;4;4;4;4;3;5;1;1;4;3;4;4;4;4;4;1;4;4;4;4;4;4;1;4;4;1;4;3;4;4;4;4;4;4;4;4;1;4;4
67;Unknown;Male;21;178;70;Light activity;3;3;2.002235556;3.511177778;1.243926667;1.186911111;2.34162;2.984962222;0.039353474;5;5;4;5;5;4;5;5;4;4;5;5;3;5;5;5;5;4;4;4;5;3;4;5;3;2;4;2;5;5;3;2;5;2;5;5;5;4;4;5;5;4;1;3;3
68;Unknown;Female;21;153;40;Very active;2;4;2.360644444;4.238622222;1.514544444;1.414522222;2.808377778;3.656655556;0.040459474;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
69;Unknown;Male;22;165;48;Light activity;1;3;1.600048889;3.090562222;0.997288889;0.942351111;2.063377778;2.61068;0.036922999;4;4;4;5;3;5;4;4;4;3;5;4;3;5;3;1;3;4;5;5;3;2;3;4;4;2;4;3;4;4;3;4;4;3;3;2;5;4;3;3;3;3;1;5;3
70;Unknown;Male;20;170;100;Moderate active;2;2;1.564793333;2.858871111;0.976244444;0.90512;1.890675556;2.415717778;0.030273704;4;4;3;4;3;5;4;2;2;4;3;5;5;3;2;2;3;5;3;3;5;1;4;2;3;4;3;3;5;3;3;3;3;3;3;3;5;3;3;3;3;1;3;4;2
71;Unknown;Male;20;173;50;Light activity;3;5;1.533086667;2.858957778;0.949771111;1.008555556;1.962215556;2.449662222;0.031322395;5;5;5;5;5;4;5;2;5;5;5;5;2;5;5;1;5;5;2;3;1;1;5;5;1;1;5;5;5;1;1;3;3;1;5;1;1;5;5;1;1;1;1;5;5
72;Unknown;Male;21;172;70;Active;2;3;1.927495556;3.489088889;1.261637778;1.158468889;2.337293333;3.0065;0.036889512;4;4;4;5;4;4;5;3;4;4;3;4;5;4;4;3;4;4;4;4;4;4;4;5;4;4;4;4;4;4;4;4;3;5;4;4;4;4;4;4;4;5;5;5;5
73;Unknown;Female;20;165;150;Not active;3;3;1.456726667;2.786093333;0.890253333;0.888577778;1.880722222;2.349333333;0.031277617;5;5;5;5;4;5;5;4;3;1;5;1;4;5;5;3;5;5;1;1;4;2;5;5;1;1;5;4;5;1;1;4;1;3;4;1;1;1;1;1;3;5;1;5;3
74;Unknown;Female;26;150;43;Light activity;4;4;1.734077778;3.115168889;1.066422222;1.015615556;2.04308;2.674533333;0.034461573;3;4;4;5;4;5;3;4;4;4;5;4;2;4;3;2;4;4;3;4;5;3;5;3;4;4;5;4;5;3;3;2;2;2;3;3;4;4;4;4;4;4;3;4;2
75;Unknown;Male;21;170;75;Moderate active;3;4;2.042333333;3.599086667;1.297768889;1.204702222;2.362984444;3.094393333;0.02378759;5;5;3;3;5;2;5;2;5;5;2;4;5;5;2;3;3;5;4;5;5;5;5;5;3;5;2;5;5;2;3;5;5;3;5;5;5;5;5;4;5;5;5;5;5
76;Unknown;Male;21;169;49;Moderate active;3;3;1.685193333;2.757593333;1.008204444;0.955064444;1.805431111;2.44396;0.016931754;5;4;3;1;3;3;4;4;4;5;2;3;2;1;4;4;5;5;4;2;4;3;4;3;4;2;3;5;4;3;3;1;3;3;3;3;4;3;3;3;4;4;3;3;3
77;Unknown;Male;20;168;70;Active;4;4;1.997395556;3.682548889;1.324011111;1.223742222;2.435297778;3.151791111;0.032304332;5;3;4;4;5;4;4;5;4;5;4;4;5;5;3;3;4;4;4;5;4;4;5;5;4;4;4;4;5;4;4;5;4;4;5;5;5;4;5;4;3;4;5;4;5
